barcode,consensus,nReads
B6,NA%Ciliophora%Spirotrichea%NA%Strombidiidae%Strombidium%Strombidium paracapitatum,1
B6,NA%Ciliophora%Spirotrichea%Sporadotrichida%Oxytrichidae%Oxytricha%Oxytricha paragranulifera,6
B6,NA%Ciliophora%Spirotrichea%Stichotrichida%Epiclintidae%Epiclintes%Epiclintes auricularis,2
B6,NA%Ciliophora%Spirotrichea%Stichotrichida%Parabirojimidae%Parabirojimia%Parabirojimia similis,24
B6,NA%Ciliophora%Spirotrichea%Urostylida%Urostylidae%Uroleptus%Uroleptus stueberi,1
B6,NA%Endomyxa%NA%Vampyrellida%Leptophryidae%Vernalophrys%Vernalophrys algivore,3
B6,NA%Euglenozoa%Euglenida%Euglenales%NA%NA%NA,27
B6,NA%Euglenozoa%Euglenida%Euglenales%Phacaceae%Phacus%Phacus mariae,1
B6,NA%Euglenozoa%Euglenida%Petalomonadida%Scytomonadidae%Petalomonas%Petalomonas sphagnophila,37
B6,NA%NA%Bigyra%Bicosoecida%Bicosoecidae%Bicosoeca%Bicosoeca petiolata,1
B6,NA%NA%Bigyra%Bicosoecida%Siluaniidae%NA%NA,1
B6,NA%NA%Bigyra%Bicosoecida%Siluaniidae%Nerada%Nerada mexicana,78
B6,NA%NA%Chrysophyceae%Chromulinales%Chromulinaceae%Ochromonas%Ochromonas tuberculata,2
B6,NA%NA%Chrysophyceae%Chromulinales%Chrysolepidomonadaceae%Chrysolepidomonas%Chrysolepidomonas dendrolepidota,5
B6,NA%NA%Chrysophyceae%Chromulinales%NA%NA%NA,1
B6,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas bandaiensis,44
B6,NA%NA%Chrysophyceae%Chromulinales%Paraphysomonadaceae%Paraphysomonas%Paraphysomonas imperforata,4
B6,NA%NA%Cryptophyceae%Cryptomonadales%Cryptomonadaceae%Cryptomonas%Cryptomonas pyrenoidifera,122
B6,NA%NA%Cryptophyceae%Cryptomonadales%Hemiselmidaceae%Hemiselmis%Hemiselmis rufescens,1
B6,NA%NA%Cryptophyceae%Kathablepharidacea%Katablepharidaceae%Leucocryptos%Leucocryptos marina,1
B6,NA%NA%Cryptophyceae%NA%NA%NA%NA,25
B6,NA%NA%Cryptophyceae%Pyrenomonadales%Chroomonadaceae%Komma%Komma caudata,2
B6,NA%NA%Cryptophyceae%Pyrenomonadales%Geminigeraceae%Geminigera%Geminigera cryophila,14
B6,NA%NA%Cryptophyceae%Pyrenomonadales%NA%NA%NA,4
B6,NA%NA%Dinophyceae%Gymnodiniales%Gymnodiniaceae%NA%NA,1
B6,NA%NA%Dinophyceae%NA%NA%NA%NA,141
B6,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%Chlamydomonadaceae%Carteria%Carteria radiosa,6
B6,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%Coleochlamys%Coleochlamys oleifera,3
B6,Viridiplantae%Chlorophyta%Chlorophyceae%Chlamydomonadales%NA%NA%NA,95
B6,Viridiplantae%Chlorophyta%Chlorophyceae%NA%NA%NA%NA,9
B6,Viridiplantae%Chlorophyta%NA%NA%NA%NA%NA,229
B6,Viridiplantae%Chlorophyta%Ulvophyceae%NA%NA%NA%NA,11
B6,Viridiplantae%Chlorophyta%Ulvophyceae%Ulotrichales%NA%NA%NA,1
B6,Viridiplantae%NA%NA%NA%NA%NA%NA,86
B6,Viridiplantae%Streptophyta%Klebsormidiophyceae%Klebsormidiales%NA%Streptofilum%Streptofilum capillatum,1
B6,Viridiplantae%Streptophyta%Magnoliopsida%NA%NA%NA%NA,1
B6,Viridiplantae%Streptophyta%Marchantiopsida%Marchantiales%Aytoniaceae%Reboulia%Reboulia hemisphaerica,4
B6,Viridiplantae%Streptophyta%NA%NA%NA%NA%NA,1
B7,Fungi%Basidiomycota%NA%NA%NA%NA%NA,1
B7,Fungi%Basidiomycota%Tremellomycetes%Tremellales%Cuniculitremaceae%Kockovaella%NA,2
