Centroid,consensus,barcode,nReads
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,G6,1
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,G8,3
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,H4,6
dcd44cd9-0e3d-4c62-9ab9-6d4e57ce678c,NA%NA%NA%NA%NA%NA%NA,H5,1
cd530810-15f8-49fc-b95c-4ce3d9e8007b,NA%NA%NA%NA%NA%NA%NA,B6,2
cd530810-15f8-49fc-b95c-4ce3d9e8007b,NA%NA%NA%NA%NA%NA%NA,D8,1
cd530810-15f8-49fc-b95c-4ce3d9e8007b,NA%NA%NA%NA%NA%NA%NA,E6,2
cd530810-15f8-49fc-b95c-4ce3d9e8007b,NA%NA%NA%NA%NA%NA%NA,F8,1
99ce1060-8d95-46d5-bef0-83bc222d7c83,NA%NA%NA%NA%NA%NA%NA,E8,3
99ce1060-8d95-46d5-bef0-83bc222d7c83,NA%NA%NA%NA%NA%NA%NA,F6,1
99ce1060-8d95-46d5-bef0-83bc222d7c83,NA%NA%NA%NA%NA%NA%NA,H4,1
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,A7,16
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,B6,2
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,B7,45
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,B8,1
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,C7,59
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,D7,78
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,E6,1
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,F6,1
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,G6,125
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,H4,2
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,H5,2
dc3ca8d1-61cf-4abb-8f1c-ed3409dbc62d,NA%NA%NA%NA%NA%NA%NA,H6,183
