barcode,Centroid,nReads
A6,69f8c035-f79a-4753-b089-820154d76940,12
A6,6b036c47-1d3e-4b38-944a-8a45b53e271c,2
A6,6b774773-0510-4645-80aa-e1bbcc1001cb,11
A6,6baa2050-2452-4a05-8c77-a0c51ec3d73d,1
A6,6bdca9f4-d442-4c94-94ca-d9db09488c0e,5
A6,6cbb49fb-2620-4e4a-a866-86d859e056c8,1
A6,6cc98c0d-3ea2-4455-a509-ab2b2f0e2ebc,1
A6,6cce4bb1-59a4-4a21-88c1-7745c92ee2a4,26
A6,6d1c3e5d-d224-4f3c-bd6b-2888c0383f4f,1
A6,6d2a497c-ca72-4ba6-9d0c-5bea8bae48d3,3
A6,6d43f0ef-2cef-400d-a08b-08256b1b100c,29
A6,6dbf2f6f-6079-4932-a5d7-578d8b34f271,1
A6,6e847622-6b59-4e3d-8730-5ed1618640f5,1
A6,6e9b3ab9-eb06-48b6-ad1b-bcde201dffa7,52
A6,6ec6368a-e548-4f02-9371-3972451445b8,2
A6,6eda7ae2-8a02-44c8-aa6c-772839b1da3b,1
A6,6f73523b-0e49-406b-b096-f02ee289738d,5
A6,6f767bc4-1c9f-4c6f-84c4-9741383e1289,7
A6,6fa2fa51-88de-4a56-9c2f-5ce8380954bf,1
A6,6fa3827a-eb3c-473e-8af4-4e7fa5c05019,144
A6,6fb50b11-2e1f-408b-aeaf-32f29cc86fe1,1
A6,7017e4a5-60da-483e-9cf9-8abf4e6b70db,1
A6,712f71bb-8976-468c-a31e-1b9133b1b1e6,4
A6,7178f3df-af6b-4e0c-8abc-f1d442655a60,37
A6,72008ec4-c5bb-409a-938a-f95080b5c12d,3553
A6,72767c4d-3ecf-424d-8b9d-6c55bb3abea2,2
A6,73112c71-93df-42ce-bed6-ba28476ddf18,1
A6,73284e9c-e961-43e7-9ce8-f4a2a25a81c4,1
A6,734ee33b-d21a-404d-85bf-e6423ff74de5,5
A6,73c6bc18-e6f4-4ad0-9c20-afa1a7451a91,13
A6,7431b4e1-307e-403a-81cc-45a4fa567f55,1
A6,743d5c9e-3eb9-42c0-9703-3dd27601300f,1
A6,747d482a-804e-466d-8eb5-ec51b7d40ee9,9
A6,748069c2-85a7-4430-b7b6-987e9843c18e,1
A6,749fbf3d-f90f-405d-a8d1-de009c64a5d2,1
A6,74efe858-2af5-4766-9836-93a34d0546f1,220
A6,74f3a691-87c0-44a9-8837-f03ce83c5d71,1
A6,74fec53f-eab5-440c-90db-567d3c726024,1
A6,752c3a46-9b3c-4494-bab9-a063220489e1,13
A6,7547a4a4-f731-4d79-821d-e7b72709ab48,6
A6,757805b8-23a2-4349-b73e-e14d04cdf53e,5
A6,758aea7e-2c65-495e-9504-ffcabe48377e,20
A6,7593b58b-f520-4f4a-b785-2550b3ccf301,1
A6,759b27fe-1ac5-45da-acd7-40cbd432cb93,3
A6,75fefaef-d706-4c0f-90d3-1723a42451a9,1
A6,760a6029-ca2c-4bdb-b3c0-9a62eadd8c28,1
A6,761cf640-bc41-4151-a66c-df56dbc75a04,178
A6,76811210-4ef7-4973-babb-8ff833a06c05,14
A6,76cb0ee8-49e0-4afb-8d28-deaae57fab75,24
A6,772b9e55-0fc0-400f-83cd-45cc6d72e5e8,1
A6,77370f33-a968-49fc-896d-37d5a6cfbb82,360
A6,774bb132-6072-4113-b35e-9b3f3ed3bada,2
A6,77603e76-f5d4-4c45-86d2-94113f9c4958,1
A6,778dba0f-50cc-4546-b8fb-dc676266886a,1
A6,778f55ea-75a5-4300-8fc6-cfd49e38341c,1
A6,781e33f9-c5c3-4472-808e-e300184b2b8a,1
A6,78467630-41f5-43f9-b0f9-c40928566195,1
A6,7846906f-b404-4253-831b-0a7ad93dbd04,1
A6,787b1890-7c89-4b53-b042-08641b466f8e,131
A6,789f37be-6b13-465e-9015-91a57f3cd27e,946
A6,79017b94-0320-416a-bd1f-2e79e8d8852d,47
A6,79234b9b-f7a2-490f-bfe3-06c23a2872b6,1
A6,795ea09f-9f30-4a32-9ece-f0e22a5cdec5,4
A6,79b168e1-28e8-4ca2-87ca-fb2d8d549b54,1
A6,79b56cdb-d742-4de4-a24f-ca42558ecb37,5
A6,7a31bc6f-9c38-4d54-a483-3c60d66ca083,13
A6,7a61e1af-1175-4e20-9f84-ad1433a5806c,1
A6,7a98bacc-d392-4113-bfc6-e3bf1ff12107,60
A6,7ac9f16b-d7af-4ecd-ab9b-e928762d704a,13
A6,7b77913b-934d-4fab-94e5-765a6ecc7f51,9
A6,7b8c04f2-47a6-4da9-aee7-905340a3ca41,1
A6,7c257ffb-9333-4c84-88f1-d28af285f32b,10
A6,7c45cc1d-0084-4335-bc3b-8f6efe5f2bf7,1
A6,7c73e07f-354c-4d8e-8324-d20d9cc5cec9,6
A6,7cdc8225-d16b-4f41-bf3c-4d85935c561c,40
A6,7ce2876e-370c-4d7f-b59a-79934a736d28,1
A6,7cebf79b-31db-4be3-aeed-03d557467513,10
A6,7cf63f91-ebd5-48a1-9c0c-16caf5a70f9e,1
A6,7d0773da-1acc-485f-9b02-26faec887c47,55
A6,7d79b186-311c-4d0f-b350-a8dce35cb402,46
A6,7deef49d-fd6c-4a9f-bc88-b32da69e14ee,137
A6,7e15a2fa-0e3b-44dc-878c-d637bf38c958,1
A6,7e49ca57-d59f-4193-a111-6dda43f75800,3
A6,7e99524f-10a1-483d-bb5e-5608f26713d0,1
A6,7ea10e08-77fa-4b6c-a3b4-ecc96db4a55e,1
A6,7ea265b2-1bca-4a50-8d50-338d97e1df7c,51
A6,7ee200e3-62bc-45f1-9f47-2cc2075162e1,1
A6,7eeb5a5e-3342-4f28-a050-3014e43a8a80,2
